abandons, simple present, abandon
attending, present participle, attend
attends, simple present, attend
attitudes, plural form, attitude
attracts, simple present, attract
attracting, present participle, attract
attracted, past tense, attract
attractions, plural form, attraction
audiences, plural form, audience
augusts, plural form, august
aunts, plural form, aunt
authors, plural form, author
authoring, present participle, author
authored, past tense, author
authorities, plural form, authority
autumns, plural form, autumn
averages, plural form, average
averaged, past participle, average
averaging, present participle, average
avoids, simple present, avoid
avoiding, present participle, avoid
avoided, past tense, avoid
awards, plural form, award
awarding, present participle, award
awarded, past participle, award
babies, plural form, baby
babying, present participle, baby
babied, past participle, baby
backs, simple present, back
backing, present participle, back
backed, past tense, back
backgrounds, plural form, background
bacterium, singular, bacteria
worse, comparative degree, bad
worst, superlative, bad
worse, comparative degree, badly
worst, superlative, badly
bags, plural form, bag
bagged, past participle, bag
bagging, present participle, bag
bakes, simple present, bake
baking, present participle, bake
baked, past tense, bake
balances, plural form, balance
balancing, present participle, balance
balanced, past tense, balance
balls, plural form, ball
balling, present participle, ball
balled, past participle, ball
banned, past tense, ban
banning, present participle, ban
bans, simple present, ban
bananas, plural form, banana
bands, plural form, band
banding, present participle, band
banded, past tense, band
banks, plural form, bank
banked, past participle, bank
banking, present participle, bank
bars, simple present, bar
barring, present participle, bar
barred, past tense, bar
barriers, plural form, barrier
bases, simple present, base
basing, present participle, base
based, past tense, base
baser, comparative degree, base
basest, superlative, base
baseballs, plural form, baseball
bases, simple present, based
basing, present participle, based
based, past tense, based
baser, comparative degree, based
basest, superlative, based
basketballs, plural form, basketball
bases, plural form, basis
baths, plural form, bath
bathed, past participle, bath
bathing, present participle, bath
bathrooms, plural form, bathroom
batteries, plural form, battery
battles, simple present, battle
battling, present participle, battle
battled, past tense, battle
am, , be
are, , be
is, simple present, be
being, present participle, be
was, , be
beaches, plural form, beach
beaching, present participle, beach
beached, past tense, beach
beans, simple present, bean
beaning, present participle, bean
beaned, past tense, bean
bears, plural form, bear
bearing, present participle, bear
bore, past tense, bear
borne, past participle, bear
beats, simple present, beat
beating, present participle, beat
beaten, past participle, beat
beauties, plural form, beauty
becomes, simple present, become
becoming, present participle, become
became, past tense, become
beds, plural form, bed
bedding, present participle, bed
bedded, past participle, bed
bedrooms, plural form, bedroom
bees, plural form, bee
beefs, plural form, beef
beefing, present participle, beef
beefed, past participle, beef
beers, plural form, beer
begged, past participle, beg
begging, present participle, beg
begs, simple present, beg
begins, simple present, begin
beginning, present participle, begin
began, past tense, begin
begun, past participle, begin
beginnings, plural form, beginning
behaved, past tense, behave
behaving, present participle, behave
behaves, simple present, behave
behaviours, plural form, behaviour
behinds, plural form, behind
beings, plural form, being
beliefs, plural form, belief
believes, simple present, believe
believing, present participle, believe
believed, past tense, believe
bells, plural form, bell
belled, past participle, bell
belling, present participle, bell
belongs, simple present, belong
belonging, present participle, belong
belonged, past tense, belong
belts, simple present, belt
belting, present participle, belt
belted, past tense, belt
bends, simple present, bend
bending, present participle, bend
bent, past participle, bend
benefits, plural form, benefit
benefiting, present participle, benefit
benefited, past tense, benefit
bents, plural form, bent
bests, simple present, best
besting, present participle, best
bested, past tense, best
bets, plural form, bet
betting, present participle, bet
betters, simple present, better
bettering, present participle, better
bettered, past tense, better
bicycles, plural form, bicycle
bicycled, past participle, bicycle
bicycling, present participle, bicycle
bigger, comparative degree, big
biggest, superlative, big
bikes, simple present, bike
biking, present participle, bike
biked, past tense, bike
bills, plural form, bill
billing, present participle, bill
billed, past tense, bill
billions, plural form, billion
bins, plural form, bin
binning, present participle, bin
binned, past tense, bin
biologies, plural form, biology
birds, plural form, bird
births, plural form, birth
birthed, past participle, birth
birthing, present participle, birth
birthdays, plural form, birthday
biscuits, plural form, biscuit
bits, plural form, bit
bitted, past participle, bit
bitting, present participle, bit
bites, simple present, bite
biting, present participle, bite
bit, past tense, bite
bitten, past participle, bite
bitters, plural form, bitter
blacks, simple present, black
blacking, present participle, black
blacked, past tense, black
blacker, comparative degree, black
blackest, superlative, black
blames, simple present, blame
blaming, present participle, blame
blamed, past tense, blame
blanks, plural form, blank
blanker, comparative degree, blank
blankest, superlative, blank
blanking, present participle, blank
blanked, past participle, blank
blinds, simple present, blind
blinding, present participle, blind
blinded, past tense, blind
blocks, simple present, block
blocking, present participle, block
blocked, past tense, block
blogs, plural form, blog
blogging, present participle, blog
blogged, past tense, blog
blondes, plural form, blonde
bloods, plural form, blood
blooding, present participle, blood
blooded, past participle, blood
blows, plural form, blow
blowing, present participle, blow
blew, past tense, blow
blown, past participle, blow
bluer, comparative degree, blue
bluest, superlative, blue
blues, plural form, blue
blueing, present participle, blue
blued, past participle, blue
boards, simple present, board
boarding, present participle, board
boarded, past tense, board
boats, plural form, boat
boated, past participle, boat
boating, present participle, boat
bodies, plural form, body
bodied, past participle, body
bodying, present participle, body
boiled, past participle, boil
boiling, present participle, boil
boils, simple present, boil
bombs, plural form, bomb
bombing, present participle, bomb
bombed, past tense, bomb
bonds, simple present, bond
bonding, present participle, bond
bonded, past tense, bond
bones, simple present, bone
boning, present participle, bone
boned, past tense, bone
books, plural form, book
booking, present participle, book
booked, past tense, book
boots, simple present, boot
booting, present participle, boot
booted, past tense, boot
borders, plural form, border
bordered, past participle, border
bordering, present participle, border
borrowed, past participle, borrow
borrowing, present participle, borrow
borrows, simple present, borrow
bosses, plural form, boss
bossing, present participle, boss
bossed, past participle, boss
bothers, simple present, bother
bothering, present participle, bother
bothered, past tense, bother
bottles, plural form, bottle
bottled, past participle, bottle
bottling, present participle, bottle
bottoms, plural form, bottom
bottomed, past participle, bottom
bottoming, present participle, bottom
bowled, past tense, bowl
bowling, present participle, bowl
bowls, simple present, bowl
boxes, plural form, box
boxing, present participle, box
boxed, past tense, box
boys, plural form, boy
boyfriends, plural form, boyfriend
brains, simple present, brain
braining, present participle, brain
brained, past tense, brain
branches, plural form, branch
branched, past participle, branch
branching, present participle, branch
brands, plural form, brand
branding, present participle, brand
branded, past participle, brand
braves, simple present, brave
braving, present participle, brave
braved, past tense, brave
braver, comparative degree, brave
bravest, superlative, brave
breaks, simple present, break
breaking, present participle, break
broke, past tense, break
broken, past participle, break
breakfasts, plural form, breakfast
breakfasting, present participle, breakfast
breakfasted, past tense, breakfast
breasts, plural form, breast
breasted, past participle, breast
breasting, present participle, breast
breaths, plural form, breath
breathes, simple present, breathe
breathing, present participle, breathe
breathed, past tense, breathe
breathings, plural form, breathing
brides, plural form, bride
bridges, simple present, bridge
bridging, present participle, bridge
bridged, past tense, bridge
briefer, comparative degree, brief
briefest, superlative, brief
briefs, plural form, brief
briefed, past participle, brief
briefing, present participle, brief
brighter, comparative degree, bright
brightest, superlative, bright
brights, plural form, bright
brilliants, plural form, brilliant
brings, simple present, bring
bringing, present participle, bring
brought, past participle, bring
broads, plural form, broad
broader, comparative degree, broad
broadest, superlative, broad
broadcasts, simple present, broadcast
broadcasting, present participle, broadcast
brothers, plural form, brother
browns, plural form, brown
browned, past participle, brown
browning, present participle, brown
browner, comparative degree, brown
brownest, superlative, brown
brushes, simple present, brush
brushing, present participle, brush
brushed, past tense, brush
bubbles, plural form, bubble
bubbled, past participle, bubble
bubbling, present participle, bubble
budgets, plural form, budget
budgeting, present participle, budget
budgeted, past tense, budget
builds, simple present, build
building, present participle, build
built, past tense, build
buildings, plural form, building
bullets, plural form, bullet
bunches, plural form, bunch
bunching, present participle, bunch
bunched, past participle, bunch
burned, past participle, burn
burning, present participle, burn
burns, simple present, burn
buried, past participle, bury
burying, present participle, bury
buries, simple present, bury
buses, plural form, bus
busing, present participle, bus
bused, past participle, bus
bushes, plural form, bush
bushed, past participle, bush
bushing, present participle, bush
businesses, plural form, business
businessing, present participle, business
businessed, past participle, business
businessmen, plural form, businessman
busier, comparative degree, busy
busiest, superlative, busy
busied, past participle, busy
busying, present participle, busy
busies, simple present, busy
buts, plural form, but
butters, simple present, butter
buttering, present participle, butter
buttered, past tense, butter
buttons, plural form, button
buttoned, past participle, button
buttoning, present participle, button
bought, past participle, buy
buying, present participle, buy
buys, simple present, buy
byes, plural form, bye
cables, plural form, cable
cabled, past participle, cable
cabling, present participle, cable
cakes, plural form, cake
caked, past participle, cake
caking, present participle, cake
calculated, past participle, calculate
calculating, present participle, calculate
calculates, simple present, calculate
calls, simple present, call
calling, present participle, call
called, past tense, call
calming, present participle, calm
calmed, past tense, calm
calms, simple present, calm
calmer, comparative degree, calm
calmest, superlative, calm
cameras, plural form, camera
camps, plural form, camp
camping, present participle, camp
camped, past participle, camp
camper, comparative degree, camp
campest, superlative, camp
campaigns, simple present, campaign
campaigning, present participle, campaign
campaigned, past tense, campaign
campuses, plural form, campus
cans, plural form, can
canning, present participle, can
canned, past tense, can
cancels, simple present, cancel
cancelling, present participle, cancel
cancelled, past participle, cancel
cancers, plural form, cancer
candidates, plural form, candidate
caps, plural form, cap
capping, present participle, cap
capped, past participle, cap
capacities, plural form, capacity
capitals, plural form, capital
captains, plural form, captain
captained, past participle, captain
captaining, present participle, captain
captured, past participle, capture
capturing, present participle, capture
captures, simple present, capture
cars, plural form, car
cards, plural form, card
carding, present participle, card
carded, past participle, card
cares, simple present, care
caring, present participle, care
cared, past tense, care
careers, plural form, career
careered, past participle, career
careering, present participle, career
carpets, plural form, carpet
carpeting, present participle, carpet
carpeted, past participle, carpet
carrots, plural form, carrot
carries, simple present, carry
carrying, present participle, carry
carried, past tense, carry
cartoons, plural form, cartoon
cases, plural form, case
cased, past participle, case
casing, present participle, case
cashed, past participle, cash
cashing, present participle, cash
cashes, simple present, cash
casts, simple present, cast
casting, present participle, cast
castles, plural form, castle
castled, past participle, castle
castling, present participle, castle
cats, plural form, cat
catted, past participle, cat
catting, present participle, cat
catches, simple present, catch
catching, present participle, catch
caught, past tense, catch
categories, plural form, category
causes, plural form, cause
caused, past participle, cause
causing, present participle, cause
cds, plural form, cd
ceilings, plural form, ceiling
celebrated, past participle, celebrate
celebrating, present participle, celebrate
celebrates, simple present, celebrate
celebrations, plural form, celebration
celebrities, plural form, celebrity
cells, plural form, cell
cents, plural form, cent
centres, simple present, centre
centring, present participle, centre
centred, past tense, centre
centuries, plural form, century
ceremonies, plural form, ceremony
chains, plural form, chain
chaining, present participle, chain
chained, past participle, chain
chairs, simple present, chair
chairing, present participle, chair
chaired, past tense, chair
chairmen, plural form, chairman
challenges, plural form, challenge
challenged, past participle, challenge
challenging, present participle, challenge
champions, plural form, champion
championed, past participle, champion
championing, present participle, champion
chances, simple present, chance
chancing, present participle, chance
chanced, past tense, chance
changes, simple present, change
changing, present participle, change
changed, past tense, change
channels, plural form, channel
channelling, present participle, channel
channelled, past tense, channel
chapters, plural form, chapter
characters, plural form, character
charactering, present participle, character
charactered, past participle, character
characteristics, plural form, characteristic
charges, simple present, charge
charging, present participle, charge
charged, past tense, charge
charities, plural form, charity
charts, plural form, chart
charted, past participle, chart
charting, present participle, chart
chatted, past participle, chat
chatting, present participle, chat
chats, simple present, chat
cheaper, comparative degree, cheap
cheapest, superlative, cheap
cheats, plural form, cheat
cheating, present participle, cheat
cheated, past tense, cheat
checks, simple present, check
checking, present participle, check
checked, past tense, check
chefs, plural form, chef
cheeses, plural form, cheese
chemicals, plural form, chemical
chemistries, plural form, chemistry
chests, plural form, chest
chickens, plural form, chicken
chiefs, plural form, chief
children, plural form, child
childhoods, plural form, childhood
chips, plural form, chip
chipping, present participle, chip
chipped, past participle, chip
chocolates, plural form, chocolate
choices, plural form, choice
choicer, comparative degree, choice
choicest, superlative, choice
chose, past tense, choose
chosen, past participle, choose
choosing, present participle, choose
chooses, simple present, choose
churches, plural form, church
churched, past participle, church
churching, present participle, church
cigarettes, plural form, cigarette
cinemas, plural form, cinema
circles, plural form, circle
circling, present participle, circle
circled, past participle, circle
circumstances, plural form, circumstance
cited, past participle, cite
citing, present participle, cite
cites, simple present, cite
citizens, plural form, citizen
cities, plural form, city
claims, simple present, claim
claiming, present participle, claim
claimed, past tense, claim
classes, plural form, class
classing, present participle, class
classed, past participle, class
classics, plural form, classic
classrooms, plural form, classroom
clauses, plural form, clause
cleaner, comparative degree, clean
cleanest, superlative, clean
cleans, simple present, clean
cleaning, present participle, clean
cleaned, past participle, clean
clearer, comparative degree, clear
clearest, superlative, clear
clears, simple present, clear
clearing, present participle, clear
cleared, past tense, clear
cleverer, comparative degree, clever
cleverest, superlative, clever
clicks, simple present, click
clicking, present participle, click
clicked, past tense, click
clients, plural form, client
climates, plural form, climate
climbs, simple present, climb
climbing, present participle, climb
climbed, past tense, climb
clocks, plural form, clock
clocked, past participle, clock
clocking, present participle, clock
closer, comparative degree, close
closest, superlative, close
closed, past participle, close
closing, present participle, close
closes, simple present, close
cloths, plural form, cloth
clouds, plural form, cloud
clouding, present participle, cloud
clouded, past participle, cloud
clubs, plural form, club
clubbing, present participle, club
clubbed, past participle, club
clues, plural form, clue
coaches, plural form, coach
coaching, present participle, coach
coached, past participle, coach
coaled, past participle, coal
coaling, present participle, coal
coals, simple present, coal
coasts, plural form, coast
coasting, present participle, coast
coasted, past tense, coast
coats, simple present, coat
coating, present participle, coat
coated, past tense, coat
codes, plural form, code
coded, past participle, code
coding, present participle, code
coffees, plural form, coffee
coins, simple present, coin
coining, present participle, coin
coined, past participle, coin
colder, comparative degree, cold
coldest, superlative, cold
colds, plural form, cold
collapsed, past participle, collapse
collapsing, present participle, collapse
collapses, simple present, collapse
colleagues, plural form, colleague
collects, simple present, collect
collecting, present participle, collect
collected, past participle, collect
collections, plural form, collection
colleges, plural form, college
colours, plural form, colour
colouring, present participle, colour
coloured, past participle, colour
coloureds, plural form, coloured
columns, plural form, column
combinations, plural form, combination
combines, simple present, combine
combining, present participle, combine
combined, past participle, combine
comes, simple present, come
coming, present participle, come
came, past tense, come
comedies, plural form, comedy
comforts, simple present, comfort
comforting, present participle, comfort
comforted, past tense, comfort
commands, simple present, command
commanding, present participle, command
commanded, past tense, command
comments, plural form, comment
commented, past participle, comment
commenting, present participle, comment
commercials, plural form, commercial
commissions, plural form, commission
commissioning, present participle, commission
commissioned, past participle, commission
committed, past participle, commit
committing, present participle, commit
commits, simple present, commit
commitments, plural form, commitment
committees, plural form, committee
commons, plural form, common
commonest, superlative, common
commoner, comparative degree, common
communicated, past participle, communicate
communicating, present participle, communicate
communicates, simple present, communicate
communications, plural form, communication
communities, plural form, community
companies, plural form, company
compares, simple present, compare
comparing, present participle, compare
compared, past tense, compare
comparisons, plural form, comparison
competed, past participle, compete
competing, present participle, compete
competes, simple present, compete
competitions, plural form, competition
competitors, plural form, competitor
complained, past participle, complain
complaining, present participle, complain
complains, simple present, complain
complaints, plural form, complaint
completes, simple present, complete
completing, present participle, complete
completed, past tense, complete
complexes, plural form, complex
components, plural form, component
computers, plural form, computer
concentrates, simple present, concentrate
concentrating, present participle, concentrate
concentrated, past tense, concentrate
concentrations, plural form, concentration
concepts, plural form, concept
concerns, simple present, concern
concerning, present participle, concern
concerned, past participle, concern
concerts, plural form, concert
concerted, past participle, concert
concerting, present participle, concert
concludes, simple present, conclude
concluding, present participle, conclude
concluded, past tense, conclude
conclusions, plural form, conclusion
conditions, plural form, condition
conditioning, present participle, condition
conditioned, past tense, condition
conducted, past participle, conduct
conducting, present participle, conduct
conducts, simple present, conduct
conferences, plural form, conference
conferencing, present participle, conference
conferenced, past tense, conference
confidences, plural form, confidence
confirms, simple present, confirm
confirming, present participle, confirm
confirmed, past participle, confirm
conflicts, plural form, conflict
conflicted, past participle, conflict
conflicting, present participle, conflict
confuses, simple present, confuse
confusing, present participle, confuse
confused, past tense, confuse
connects, simple present, connect
connecting, present participle, connect
connected, past tense, connect
connections, plural form, connection
consequences, plural form, consequence
conservatives, plural form, conservative
considered, past participle, consider
considering, present participle, consider
considers, simple present, consider
considerations, plural form, consideration
consisted, past participle, consist
consisting, present participle, consist
consists, simple present, consist
constants, plural form, constant
constructs, simple present, construct
constructing, present participle, construct
constructed, past tense, construct
constructions, plural form, construction
consumes, simple present, consume
consuming, present participle, consume
consumed, past tense, consume
consumers, plural form, consumer
contacts, plural form, contact
contacted, past participle, contact
contacting, present participle, contact
contained, past participle, contain
containing, present participle, contain
contains, simple present, contain
containers, plural form, container
contemporaries, plural form, contemporary
contents, plural form, content
contenting, present participle, content
contented, past tense, content
contests, simple present, contest
contesting, present participle, contest
contested, past tense, contest
contexts, plural form, context
continents, plural form, continent
continues, simple present, continue
continuing, present participle, continue
continued, past tense, continue
contracts, plural form, contract
contracting, present participle, contract
contracted, past tense, contract
contrasts, simple present, contrast
contrasting, present participle, contrast
contrasted, past tense, contrast
contributes, simple present, contribute
contributing, present participle, contribute
contributed, past tense, contribute
contributions, plural form, contribution
controls, simple present, control
controlling, present participle, control
controlled, past tense, control
conversations, plural form, conversation
converted, past participle, convert
converting, present participle, convert
converts, simple present, convert
convinces, simple present, convince
convincing, present participle, convince
convinced, past participle, convince
cooked, past participle, cook
cooking, present participle, cook
cooks, simple present, cook
cookers, plural form, cooker
cooler, comparative degree, cool
coolest, superlative, cool
cooled, past participle, cool
cooling, present participle, cool
cools, simple present, cool
copies, plural form, copy
copied, past participle, copy
copying, present participle, copy
cores, simple present, core
coring, present participle, core
cored, past tense, core
corners, plural form, corner
cornered, past participle, corner
cornering, present participle, corner
corporates, plural form, corporate
corrected, past participle, correct
correcting, present participle, correct
corrects, simple present, correct
costing, present participle, cost
costs, simple present, cost
costumes, plural form, costume
costumed, past participle, costume
costuming, present participle, costume
cottages, plural form, cottage
cottons, plural form, cotton
councils, plural form, council
counted, past participle, count
counting, present participle, count
counts, simple present, count
countries, plural form, country
counties, plural form, county
couples, plural form, couple
coupled, past participle, couple
coupling, present participle, couple
courses, plural form, course
coursing, present participle, course
coursed, past tense, course
courts, plural form, court
courting, present participle, court
courted, past participle, court
cousins, plural form, cousin
covers, simple present, cover
covering, present participle, cover
covered, past participle, cover
cows, plural form, cow
cowing, present participle, cow
cowed, past tense, cow
crashes, simple present, crash
crashing, present participle, crash
crashed, past tense, crash
crazier, comparative degree, crazy
craziest, superlative, crazy
crazies, plural form, crazy
creams, plural form, cream
creaming, present participle, cream
creamed, past participle, cream
creates, simple present, create
creating, present participle, create
created, past tense, create
creations, plural form, creation
creatives, plural form, creative
creatures, plural form, creature
credits, plural form, credit
crediting, present participle, credit
credited, past participle, credit
crews, plural form, crew
crewing, present participle, crew
crewed, past participle, crew
crimes, plural form, crime
criminals, plural form, criminal
crises, plural form, crisis
criterion, singular, criterion
critics, plural form, critic
criticisms, plural form, criticism
criticized, past participle, criticize
criticizing, present participle, criticize
criticizes, simple present, criticize
crops, plural form, crop
cropped, past participle, crop
cropping, present participle, crop
crosses, plural form, cross
crossed, past participle, cross
crossing, present participle, cross
crosser, comparative degree, cross
crossest, superlative, cross
crowds, plural form, crowd
crowded, past participle, crowd
crowding, present participle, crowd
crueller, comparative degree, cruel
cruellest, superlative, cruel
cruels, simple present, cruel
cruelling, present participle, cruel
cruelled, past participle, cruel
cries, simple present, cry
crying, present participle, cry
cried, past tense, cry
cultures, plural form, culture
cultured, past participle, culture
culturing, present participle, culture
cups, plural form, cup
cupping, present participle, cup
cupped, past tense, cup
cupboards, plural form, cupboard
cures, simple present, cure
curing, present participle, cure
cured, past participle, cure
curlier, comparative degree, curly
curliest, superlative, curly
currencies, plural form, currency
currents, plural form, current
curtains, plural form, curtain
curtaining, present participle, curtain
curtained, past participle, curtain
curves, plural form, curve
curved, past participle, curve
curving, present participle, curve
customs, plural form, custom
customers, plural form, customer
cuts, simple present, cut
cutting, present participle, cut
cycles, plural form, cycle
cycling, present participle, cycle
cycled, past participle, cycle
dads, plural form, dad
dailies, plural form, daily
damages, simple present, damage
damaging, present participle, damage
damaged, past participle, damage
danced, past participle, dance
dancing, present participle, dance
dances, simple present, dance
dancers, plural form, dancer
dangers, plural form, danger
darker, comparative degree, dark
darkest, superlative, dark
darks, plural form, dark
dates, simple present, date
dating, present participle, date
dated, past tense, date
daughters, plural form, daughter
days, plural form, day
deader, comparative degree, dead
deadest, superlative, dead
deals, plural form, deal
dealt, past participle, deal
dealing, present participle, deal
dearer, comparative degree, dear
dearest, superlative, dear
dears, plural form, dear
deaths, plural form, death
debated, past participle, debate
debating, present participle, debate
debates, simple present, debate
debts, plural form, debt
decades, plural form, decade
decembers, plural form, december
decides, simple present, decide
deciding, present participle, decide
decided, past tense, decide
decisions, plural form, decision
declares, simple present, declare
declaring, present participle, declare
declared, past tense, declare
declined, past participle, decline
declining, present participle, decline
declines, simple present, decline
decorates, simple present, decorate
decorating, present participle, decorate
decorated, past participle, decorate
decorations, plural form, decoration
decreasing, present participle, decrease
decreased, past tense, decrease
decreases, simple present, decrease
deeper, comparative degree, deep
deepest, superlative, deep
defeated, past participle, defeat
defeating, present participle, defeat
defeats, simple present, defeat
defences, plural form, defence
defended, past participle, defend
defending, present participle, defend
defends, simple present, defend
defined, past participle, define
defining, present participle, define
defines, simple present, define
definitions, plural form, definition
degrees, plural form, degree
delayed, past participle, delay
delaying, present participle, delay
delays, simple present, delay
deliberates, simple present, deliberate
deliberating, present participle, deliberate
deliberated, past tense, deliberate
delights, plural form, delight
delighted, past participle, delight
delighting, present participle, delight
delivered, past participle, deliver
delivering, present participle, deliver
delivers, simple present, deliver
deliveries, plural form, delivery
demands, plural form, demand
demanding, present participle, demand
demanded, past participle, demand
demonstrates, simple present, demonstrate
demonstrating, present participle, demonstrate
demonstrated, past tense, demonstrate
dentists, plural form, dentist
denied, past participle, deny
denying, present participle, deny
denies, simple present, deny
departments, plural form, department
departures, plural form, departure
depends, simple present, depend
depending, present participle, depend
depended, past tense, depend
depths, plural form, depth
described, past participle, describe
describing, present participle, describe
describes, simple present, describe
descriptions, plural form, description
deserts, plural form, desert
deserting, present participle, desert
deserted, past participle, desert
deserved, past participle, deserve
deserving, present participle, deserve
deserves, simple present, deserve
designed, past participle, design
designing, present participle, design
designs, simple present, design
designers, plural form, designer
desires, simple present, desire
desiring, present participle, desire
desired, past tense, desire
desks, plural form, desk
destinations, plural form, destination
destroyed, past participle, destroy
destroying, present participle, destroy
destroys, simple present, destroy
details, simple present, detail
detailing, present participle, detail
detailed, past tense, detail
detects, simple present, detect
detecting, present participle, detect
