abolishes, simple present, abolish
bays, plural form, bay
baying, present participle, bay
bayed, past tense, bay
beams, plural form, beam
beamed, past participle, beam
beaming, present participle, beam
beasts, plural form, beast
beloveds, plural form, beloved
benches, simple present, bench
benching, present participle, bench
benched, past tense, bench
benchmarks, plural form, benchmark
benchmarking, present participle, benchmark
benchmarked, past participle, benchmark
beneficiaries, plural form, beneficiary
betrays, simple present, betray
betraying, present participle, betray
betrayed, past tense, betray
biases, plural form, bias
biased, past participle, bias
biasing, present participle, bias
bids, plural form, bid
bidding, present participle, bid
bade, past tense, bid
bidden, past participle, bid
binds, simple present, bind
binding, present participle, bind
bound, past tense, bind
biographies, plural form, biography
biologicals, plural form, biological
bishops, plural form, bishop
blades, plural form, blade
bladed, past participle, blade
blading, present participle, blade
blankets, plural form, blanket
blanketing, present participle, blanket
blanketed, past tense, blanket
blasts, plural form, blast
blasting, present participle, blast
blasted, past participle, blast
bleeds, simple present, bleed
bleeding, present participle, bleed
bled, past tense, bleed
blends, simple present, blend
blending, present participle, blend
blended, past participle, blend
blesses, simple present, bless
blessing, present participle, bless
blessed, past tense, bless
blessings, plural form, blessing
blows, plural form, blow
blowing, present participle, blow
blew, past tense, blow
blown, past participle, blow
boasts, simple present, boast
boasting, present participle, boast
boasted, past tense, boast
bolder, comparative degree, bold
boldest, superlative, bold
bolded, past participle, bold
bolding, present participle, bold
bolds, simple present, bold
bombings, plural form, bombing
bonuses, plural form, bonus
bookings, plural form, booking
booms, plural form, boom
boomed, past participle, boom
booming, present participle, boom
boosts, simple present, boost
boosting, present participle, boost
boosted, past tense, boost
bounces, simple present, bounce
bouncing, present participle, bounce
bounced, past tense, bounce
bounds, plural form, bound
bounding, present participle, bound
bounded, past tense, bound
boundaries, plural form, boundary
bows, plural form, bow
bowed, past participle, bow
bowing, present participle, bow
breaches, simple present, breach
breaching, present participle, breach
breached, past tense, breach
breakdowns, plural form, breakdown
breakthroughs, plural form, breakthrough
breeds, simple present, breed
breeding, present participle, breed
bred, past tense, breed
bricks, plural form, brick
bricked, past participle, brick
bricking, present participle, brick
broadcasters, plural form, broadcaster
browsers, plural form, browser
bucked, past participle, buck
bucking, present participle, buck
bucks, simple present, buck
buddies, plural form, buddy
buddying, present participle, buddy
buddied, past tense, buddy
buffers, plural form, buffer
buffered, past participle, buffer
buffering, present participle, buffer
bugs, plural form, bug
bugging, present participle, bug
bugged, past tense, bug
bulks, plural form, bulk
bulking, present participle, bulk
bulked, past participle, bulk
burdens, plural form, burden
burdening, present participle, burden
burdened, past participle, burden
bureaucracies, plural form, bureaucracy
burials, plural form, burial
bursts, simple present, burst
bursting, present participle, burst
cabins, plural form, cabin
cabined, past participle, cabin
cabining, present participle, cabin
cabinets, plural form, cabinet
calculations, plural form, calculation
canals, plural form, canal
candles, plural form, candle
candling, present participle, candle
candled, past participle, candle
canvases, plural form, canvas
capabilities, plural form, capability
capitalists, plural form, capitalist
carbons, plural form, carbon
cargoes, plural form, cargo
carriages, plural form, carriage
carves, simple present, carve
carving, present participle, carve
carved, past tense, carve
casinos, plural form, casino
casuals, plural form, casual
casualties, plural form, casualty
catalogues, plural form, catalogue
cataloguing, present participle, catalogue
catalogued, past participle, catalogue
caters, simple present, cater
catering, present participle, cater
catered, past participle, cater
cautions, simple present, caution
cautioning, present participle, caution
cautioned, past tense, caution
caves, plural form, cave
caved, past participle, cave
caving, present participle, cave
ceases, simple present, cease
ceasing, present participle, cease
ceased, past tense, cease
cemeteries, plural form, cemetery
certainties, plural form, certainty
certificates, plural form, certificate
certificated, past participle, certificate
certificating, present participle, certificate
chambers, plural form, chamber
chambered, past participle, chamber
chambering, present participle, chamber
championships, plural form, championship
characterizes, simple present, characterize
characterizing, present participle, characterize
characterized, past tense, characterize
charms, plural form, charm
charming, present participle, charm
charmed, past participle, charm
charters, simple present, charter
chartering, present participle, charter
chartered, past tense, charter
chases, simple present, chase
chasing, present participle, chase
chased, past participle, chase
cheeks, plural form, cheek
cheeking, present participle, cheek
cheeked, past tense, cheek
cheers, simple present, cheer
cheering, present participle, cheer
cheered, past tense, cheer
choirs, plural form, choir
chops, plural form, chop
chopping, present participle, chop
chopped, past tense, chop
chunks, plural form, chunk
circuits, plural form, circuit
circuited, past participle, circuit
circuiting, present participle, circuit
circulates, simple present, circulate
circulating, present participle, circulate
circulated, past participle, circulate
circulations, plural form, circulation
civilians, plural form, civilian
civilizations, plural form, civilization
clarified, past participle, clarify
clarifying, present participle, clarify
clarifies, simple present, clarify
clashed, past participle, clash
clashing, present participle, clash
clashes, simple present, clash
classifications, plural form, classification
classified, past participle, classify
classifying, present participle, classify
classifies, simple present, classify
cleanings, plural form, cleaning
clerks, simple present, clerk
clerking, present participle, clerk
clerked, past tense, clerk
cliffs, plural form, cliff
clings, simple present, cling
clinging, present participle, cling
clung, past tense, cling
clinics, plural form, clinic
clips, plural form, clip
clipped, past participle, clip
clipping, present participle, clip
closures, plural form, closure
closuring, present participle, closure
closured, past participle, closure
clusters, plural form, cluster
clustered, past participle, cluster
clustering, present participle, cluster
coalitions, plural form, coalition
cocktails, plural form, cocktail
coincides, simple present, coincide
coinciding, present participle, coincide
coincided, past tense, coincide
coincidences, plural form, coincidence
collaborated, past participle, collaborate
collaborating, present participle, collaborate
collaborates, simple present, collaborate
collaborations, plural form, collaboration
collectives, plural form, collective
collectors, plural form, collector
collisions, plural form, collision
colonials, plural form, colonial
colonies, plural form, colony
columnists, plural form, columnist
combats, simple present, combat
combating, present participle, combat
combated, past tense, combat
comics, plural form, comic
commanders, plural form, commander
commenced, past participle, commence
commencing, present participle, commence
commences, simple present, commence
commentaries, plural form, commentary
commentators, plural form, commentator
commissioners, plural form, commissioner
commodities, plural form, commodity
communists, plural form, communist
companions, plural form, companion
comparatives, plural form, comparative
compels, simple present, compel
compelling, present participle, compel
compelled, past tense, compel
compensates, simple present, compensate
compensating, present participle, compensate
compensated, past tense, compensate
compensations, plural form, compensation
competences, plural form, competence
compiles, simple present, compile
compiling, present participle, compile
compiled, past tense, compile
complements, plural form, complement
complemented, past participle, complement
complementing, present participle, complement
completions, plural form, completion
complexities, plural form, complexity
complications, plural form, complication
complies, simple present, comply
complying, present participle, comply
complied, past participle, comply
composes, simple present, compose
composing, present participle, compose
composed, past tense, compose
composers, plural form, composer
compositions, plural form, composition
compounds, plural form, compound
compounding, present participle, compound
compounded, past tense, compound
comprehensives, plural form, comprehensive
comprises, simple present, comprise
comprising, present participle, comprise
comprised, past participle, comprise
compromises, plural form, compromise
compromising, present participle, compromise
compromised, past participle, compromise
compulsories, plural form, compulsory
computes, simple present, compute
computing, present participle, compute
computed, past participle, compute
concealed, past participle, conceal
concealing, present participle, conceal
conceals, simple present, conceal
conceded, past participle, concede
conceding, present participle, concede
concedes, simple present, concede
conceives, simple present, conceive
conceiving, present participle, conceive
conceived, past participle, conceive
conceptions, plural form, conception
concessions, plural form, concession
concreting, present participle, concrete
concreted, past tense, concrete
concretes, simple present, concrete
condemns, simple present, condemn
condemning, present participle, condemn
condemned, past tense, condemn
conferred, past participle, confer
conferring, present participle, confer
confers, simple present, confer
confesses, simple present, confess
confessing, present participle, confess
confessed, past tense, confess
confessions, plural form, confession
configurations, plural form, configuration
confines, simple present, confine
confining, present participle, confine
confined, past participle, confine
confirmations, plural form, confirmation
confronted, past participle, confront
confronting, present participle, confront
confronts, simple present, confront
confrontations, plural form, confrontation
confusions, plural form, confusion
congratulated, past participle, congratulate
congratulating, present participle, congratulate
congratulates, simple present, congratulate
congregations, plural form, congregation
conquered, past participle, conquer
conquering, present participle, conquer
conquers, simple present, conquer
consciences, plural form, conscience
consented, past participle, consent
consenting, present participle, consent
consents, simple present, consent
conserved, past participle, conserve
conserving, present participle, conserve
conserves, simple present, conserve
consistencies, plural form, consistency
consolidates, simple present, consolidate
consolidating, present participle, consolidate
consolidated, past tense, consolidate
conspiracies, plural form, conspiracy
constituencies, plural form, constituency
constituted, past participle, constitute
constituting, present participle, constitute
constitutes, simple present, constitute
constitutions, plural form, constitution
constitutionals, plural form, constitutional
constraints, plural form, constraint
consults, simple present, consult
consulting, present participle, consult
consulted, past tense, consult
consultants, plural form, consultant
consultations, plural form, consultation
contemplated, past participle, contemplate
contemplating, present participle, contemplate
contemplates, simple present, contemplate
contends, simple present, contend
contending, present participle, contend
contended, past tense, contend
contenders, plural form, contender
contents, plural form, content
contenting, present participle, content
contented, past tense, content
contentions, plural form, contention
contractors, plural form, contractor
contradictions, plural form, contradiction
contraries, plural form, contrary
contributors, plural form, contributor
controversies, plural form, controversy
conveniences, plural form, convenience
conventions, plural form, convention
conversions, plural form, conversion
conveyed, past participle, convey
conveying, present participle, convey
conveys, simple present, convey
convicts, plural form, convict
convicting, present participle, convict
convicted, past participle, convict
convictions, plural form, conviction
cooperates, simple present, cooperate
cooperating, present participle, cooperate
cooperated, past tense, cooperate
cooperatives, plural form, cooperative
coordinated, past participle, coordinate
coordinating, present participle, coordinate
coordinates, simple present, coordinate
coordinators, plural form, coordinator
cops, plural form, cop
copping, present participle, cop
copped, past tense, cop
coped, past participle, cope
coping, present participle, cope
copes, simple present, cope
coppers, plural form, copper
coppered, past participle, copper
coppering, present participle, copper
copyrights, plural form, copyright
copyrighted, past participle, copyright
copyrighting, present participle, copyright
corporations, plural form, corporation
corrections, plural form, correction
correlates, simple present, correlate
correlating, present participle, correlate
correlated, past participle, correlate
correlations, plural form, correlation
corresponds, simple present, correspond
corresponding, present participle, correspond
corresponded, past tense, correspond
correspondences, plural form, correspondence
correspondents, plural form, correspondent
corridors, plural form, corridor
corrupted, past participle, corrupt
corrupting, present participle, corrupt
corrupts, simple present, corrupt
corruptions, plural form, corruption
costlier, comparative degree, costly
costliest, superlative, costly
councillors, plural form, councillor
counsellors, plural form, counsellor
counters, plural form, counter
countered, past participle, counter
countering, present participle, counter
counterparts, plural form, counterpart
coups, plural form, coup
courtesies, plural form, courtesy
cracked, past participle, crack
cracking, present participle, crack
cracks, simple present, crack
crafts, simple present, craft
crafting, present participle, craft
crafted, past tense, craft
crawls, simple present, crawl
crawling, present participle, crawl
crawled, past tense, crawl
creators, plural form, creator
creeps, simple present, creep
creeping, present participle, creep
crept, past tense, creep
critiques, plural form, critique
critiquing, present participle, critique
critiqued, past tense, critique
crowns, plural form, crown
crowned, past participle, crown
crowning, present participle, crown
cruder, comparative degree, crude
crudest, superlative, crude
cruised, past participle, cruise
cruising, present participle, cruise
cruises, simple present, cruise
crushes, plural form, crush
crushing, present participle, crush
crushed, past participle, crush
crystals, plural form, crystal
cues, plural form, cue
cued, past participle, cue
cuing, present participle, cue
cults, plural form, cult
cultivated, past participle, cultivate
cultivating, present participle, cultivate
cultivates, simple present, cultivate
curiosities, plural form, curiosity
curricula, plural form, curriculum
cuter, comparative degree, cute
cutest, superlative, cute
cuttings, plural form, cutting
dairies, plural form, dairy
dams, plural form, dam
damming, present participle, dam
dammed, past tense, dam
dares, simple present, dare
daring, present participle, dare
dared, past tense, dare
databases, plural form, database
dawns, simple present, dawn
dawning, present participle, dawn
dawned, past tense, dawn
deadlines, plural form, deadline
deadlier, comparative degree, deadly
deadliest, superlative, deadly
dealers, plural form, dealer
debuts, plural form, debut
debuting, present participle, debut
debuted, past tense, debut
decks, plural form, deck
decking, present participle, deck
decked, past participle, deck
declarations, plural form, declaration
dedications, plural form, dedication
deeds, plural form, deed
deeded, past participle, deed
deeding, present participle, deed
deeming, present participle, deem
deemed, past tense, deem
deems, simple present, deem
defaulting, present participle, default
defaulted, past tense, default
defaults, simple present, default
defects, plural form, defect
defecting, present participle, defect
defected, past tense, defect
defenders, plural form, defender
deficiencies, plural form, deficiency
deficits, plural form, deficit
defies, simple present, defy
defying, present participle, defy
defied, past tense, defy
delegates, simple present, delegate
delegating, present participle, delegate
delegated, past tense, delegate
delegations, plural form, delegation
deletes, simple present, delete
deleting, present participle, delete
deleted, past participle, delete
democracies, plural form, democracy
demons, plural form, demon
demonstrations, plural form, demonstration
denials, plural form, denial
denounced, past participle, denounce
denouncing, present participle, denounce
denounces, simple present, denounce
denser, comparative degree, dense
densest, superlative, dense
densities, plural form, density
departs, simple present, depart
departing, present participle, depart
departed, past participle, depart
dependents, plural form, dependent
depicts, simple present, depict
depicting, present participle, depict
depicted, past tense, depict
deploys, simple present, deploy
deploying, present participle, deploy
deployed, past participle, deploy
deposited, past participle, deposit
depositing, present participle, deposit
deposits, simple present, deposit
depressions, plural form, depression
deprived, past participle, deprive
depriving, present participle, deprive
deprives, simple present, deprive
deputies, plural form, deputy
derives, simple present, derive
deriving, present participle, derive
derived, past tense, derive
descended, past participle, descend
descending, present participle, descend
descends, simple present, descend
descents, plural form, descent
designated, past participle, designate
designating, present participle, designate
designates, simple present, designate
desirables, plural form, desirable
desktops, plural form, desktop
detains, simple present, detain
detaining, present participle, detain
detained, past tense, detain
detentions, plural form, detention
deteriorated, past participle, deteriorate
deteriorating, present participle, deteriorate
deteriorates, simple present, deteriorate
determinations, plural form, determination
devastates, simple present, devastate
devastating, present participle, devastate
devastated, past tense, devastate
devils, plural form, devil
devilling, present participle, devil
devilled, past participle, devil
devised, past tense, devise
devising, present participle, devise
devises, simple present, devise
devoted, past participle, devote
devoting, present participle, devote
devotes, simple present, devote
diagnoses, simple present, diagnose
diagnosing, present participle, diagnose
diagnosed, past tense, diagnose
diagnoses, plural form, diagnosis
dictated, past participle, dictate
dictating, present participle, dictate
dictates, simple present, dictate
dictators, plural form, dictator
differed, past participle, differ
differing, present participle, differ
differs, simple present, differ
differentiated, past participle, differentiate
differentiating, present participle, differentiate
differentiates, simple present, differentiate
dignities, plural form, dignity
dilemmas, plural form, dilemma
dimensions, plural form, dimension
dimensioning, present participle, dimension
dimensioned, past participle, dimension
diminished, past tense, diminish
diminishing, present participle, diminish
diminishes, simple present, diminish
dips, simple present, dip
dipping, present participle, dip
dipped, past participle, dip
diplomats, plural form, diplomat
directories, plural form, directory
disabilities, plural form, disability
disagreements, plural form, disagreement
disappoints, simple present, disappoint
disappointing, present participle, disappoint
disappointed, past tense, disappoint
disappointments, plural form, disappointment
discarded, past participle, discard
discarding, present participle, discard
discards, simple present, discard
discharged, past participle, discharge
discharging, present participle, discharge
discharges, simple present, discharge
discloses, simple present, disclose
disclosing, present participle, disclose
disclosed, past tense, disclose
disclosures, plural form, disclosure
discourages, simple present, discourage
discouraging, present participle, discourage
discouraged, past participle, discourage
discourses, plural form, discourse
discoursing, present participle, discourse
discoursed, past participle, discourse
dismissals, plural form, dismissal
disorders, plural form, disorder
disordered, past participle, disorder
disordering, present participle, disorder
displaced, past participle, displace
displacing, present participle, displace
displaces, simple present, displace
disposals, plural form, disposal
disposed, past participle, dispose
disposing, present participle, dispose
disposes, simple present, dispose
disputes, plural form, dispute
disputing, present participle, dispute
disputed, past tense, dispute
disrupts, simple present, disrupt
disrupting, present participle, disrupt
disrupted, past participle, disrupt
disruptions, plural form, disruption
dissolves, simple present, dissolve
dissolving, present participle, dissolve
dissolved, past participle, dissolve
distinctions, plural form, distinction
distinguished, past participle, distinguish
distinguishing, present participle, distinguish
distinguishes, simple present, distinguish
distorts, simple present, distort
distorting, present participle, distort
distorted, past tense, distort
distracted, past participle, distract
distracting, present participle, distract
distracts, simple present, distract
distresses, simple present, distress
distressing, present participle, distress
distressed, past tense, distress
disturbed, past participle, disturb
disturbing, present participle, disturb
disturbs, simple present, disturb
dives, plural form, dive
diving, present participle, dive
dived, past tense, dive
diversities, plural form, diversity
diverts, simple present, divert
diverting, present participle, divert
diverted, past participle, divert
divines, plural form, divine
divining, present participle, divine
divined, past tense, divine
divorces, simple present, divorce
divorcing, present participle, divorce
divorced, past tense, divorce
doctrines, plural form, doctrine
domains, plural form, domain
dominants, plural form, dominant
donations, plural form, donation
donors, plural form, donor
doses, simple present, dose
dosing, present participle, dose
dosed, past tense, dose
dots, plural form, dot
dotting, present participle, dot
dotted, past participle, dot
downtowns, plural form, downtown
drains, simple present, drain
draining, present participle, drain
drained, past tense, drain
drifted, past participle, drift
drifting, present participle, drift
drifts, simple present, drift
droughts, plural form, drought
drowns, simple present, drown
drowning, present participle, drown
drowned, past participle, drown
dubbed, past participle, dub
dubbing, present participle, dub
dubs, simple present, dub
duller, comparative degree, dull
dullest, superlative, dull
dulls, simple present, dull
dulling, present participle, dull
dulled, past tense, dull
dumber, comparative degree, dumb
dumbest, superlative, dumb
dumbs, simple present, dumb
dumbing, present participle, dumb
dumbed, past participle, dumb
dumped, past participle, dump
dumping, present participle, dump
dumps, simple present, dump
duos, plural form, duo
durations, plural form, duration
dynamics, plural form, dynamic
eased, past participle, ease
easing, present participle, ease
eases, simple present, ease
echoes, plural form, echo
echoed, past participle, echo
echoing, present participle, echo
economists, plural form, economist
editorials, plural form, editorial
educators, plural form, educator
efficiencies, plural form, efficiency
egos, plural form, ego
elaborated, past participle, elaborate
elaborating, present participle, elaborate
elaborates, simple present, elaborate
elbows, plural form, elbow
elbowed, past participle, elbow
elbowing, present participle, elbow
elevated, past participle, elevate
elevating, present participle, elevate
elevates, simple present, elevate
eligibles, plural form, eligible
eliminated, past tense, eliminate
eliminating, present participle, eliminate
eliminates, simple present, eliminate
elites, plural form, elite
embarks, simple present, embark
embarking, present participle, embark
embarked, past tense, embark
embarrassments, plural form, embarrassment
embassies, plural form, embassy
embeds, simple present, embed
embedding, present participle, embed
embedded, past participle, embed
embodies, simple present, embody
embodying, present participle, embody
embodied, past tense, embody
embraced, past participle, embrace
embracing, present participle, embrace
embraces, simple present, embrace
empires, plural form, empire
empowers, simple present, empower
empowering, present participle, empower
empowered, past tense, empower
enacts, simple present, enact
enacting, present participle, enact
enacted, past tense, enact
encompasses, simple present, encompass
encompassing, present participle, encompass
encompassed, past participle, encompass
encouragements, plural form, encouragement
endeavours, simple present, endeavour
endeavouring, present participle, endeavour
endeavoured, past tense, endeavour
endorsed, past participle, endorse
endorsing, present participle, endorse
endorses, simple present, endorse
endorsements, plural form, endorsement
endured, past participle, endure
enduring, present participle, endure
endures, simple present, endure
enforces, simple present, enforce
enforcing, present participle, enforce
enforced, past participle, enforce
engagements, plural form, engagement
enquires, simple present, enquire
enquiring, present participle, enquire
enquired, past participle, enquire
enriched, past tense, enrich
enriching, present participle, enrich
enriches, simple present, enrich
enrols, simple present, enrol
enrolling, present participle, enrol
enrolled, past tense, enrol
ensued, past participle, ensue
ensuing, present participle, ensue
ensues, simple present, ensue
enterprises, plural form, enterprise
enthusiasts, plural form, enthusiast
entitled, past participle, entitle
entitling, present participle, entitle
entitles, simple present, entitle
entities, plural form, entity
entrepreneurs, plural form, entrepreneur
envelopes, plural form, envelope
epidemics, plural form, epidemic
equalities, plural form, equality
equations, plural form, equation
equips, simple present, equip
equipping, present participle, equip
equipped, past tense, equip
equivalents, plural form, equivalent
eras, plural form, era
erects, simple present, erect
erecting, present participle, erect
erected, past tense, erect
erupts, simple present, erupt
erupting, present participle, erupt
erupted, past participle, erupt
escalates, simple present, escalate
escalating, present participle, escalate
escalated, past tense, escalate
essences, plural form, essence
establishments, plural form, establishment
ethnics, plural form, ethnic
evacuates, simple present, evacuate
evacuating, present participle, evacuate
evacuated, past participle, evacuate
evaluations, plural form, evaluation
evoked, past participle, evoke
evoking, present participle, evoke
evokes, simple present, evoke
evolutions, plural form, evolution
evolved, past participle, evolve
evolving, present participle, evolve
evolves, simple present, evolve
exaggerates, simple present, exaggerate
exaggerating, present participle, exaggerate
exaggerated, past participle, exaggerate
exceeded, past participle, exceed
exceeding, present participle, exceed
exceeds, simple present, exceed
excellences, plural form, excellence
exceptions, plural form, exception
excesses, simple present, excess
excessing, present participle, excess
excessed, past tense, excess
excluded, past participle, exclude
excluding, present participle, exclude
excludes, simple present, exclude
exclusions, plural form, exclusion
exclusives, plural form, exclusive
executed, past participle, execute
executing, present participle, execute
executes, simple present, execute
executions, plural form, execution
exerts, simple present, exert
exerting, present participle, exert
exerted, past tense, exert
exhibits, simple present, exhibit
exhibiting, present participle, exhibit
exhibited, past tense, exhibit
exiles, plural form, exile
exiling, present participle, exile
exiled, past tense, exile
exits, plural form, exit
exiting, present participle, exit
exited, past participle, exit
exotics, plural form, exotic
expansions, plural form, expansion
expenditures, plural form, expenditure
expired, past participle, expire
expiring, present participle, expire
expires, simple present, expire
exploits, simple present, exploit
exploiting, present participle, exploit
exploited, past tense, exploit
explosives, plural form, explosive
exposures, plural form, exposure
extensions, plural form, extension
extracts, plural form, extract
extracting, present participle, extract
extracted, past tense, extract
extremists, plural form, extremist
fabrics, plural form, fabric
facilitates, simple present, facilitate
facilitating, present participle, facilitate
facilitated, past tense, facilitate
factions, plural form, faction
faculties, plural form, faculty
faded, past participle, fade
fading, present participle, fade
fades, simple present, fade
fakes, simple present, fake
faking, present participle, fake
faked, past tense, fake
fantasies, plural form, fantasy
fantasied, past participle, fantasy
fantasying, present participle, fantasy
fares, simple present, fare
faring, present participle, fare
fared, past tense, fare
fatals, plural form, fatal
fates, plural form, fate
fating, present participle, fate
fated, past participle, fate
feats, plural form, feat
federals, plural form, federal
feedings, plural form, feeding
feminists, plural form, feminist
fevers, plural form, fever
fevered, past participle, fever
fevering, present participle, fever
fibres, plural form, fibre
fiercer, comparative degree, fierce
fiercest, superlative, fierce
filmmakers, plural form, film-maker
filters, plural form, filter
filtered, past participle, filter
filtering, present participle, filter
finer, comparative degree, fine
finest, superlative, fine
fines, plural form, fine
fined, past participle, fine
fining, present participle, fine
firearms, plural form, firearm
firefighters, plural form, firefighter
fireworks, plural form, firework
firms, plural form, firm
firmer, comparative degree, firm
firmest, superlative, firm
firmed, past participle, firm
firming, present participle, firm
fits, plural form, fit
fitter, comparative degree, fit
fittest, superlative, fit
fitted, past participle, fit
fitting, present participle, fit
fixtures, plural form, fixture
flavours, plural form, flavour
flavouring, present participle, flavour
flavoured, past participle, flavour
flaws, plural form, flaw
flees, simple present, flee
fleeing, present participle, flee
fled, past tense, flee
fleets, plural form, fleet
fleeted, past participle, fleet
fleeting, present participle, fleet
fleshed, past participle, flesh
fleshing, present participle, flesh
fleshes, simple present, flesh
flourishes, simple present, flourish
flourishing, present participle, flourish
flourished, past tense, flourish
fluids, plural form, fluid
fonder, comparative degree, fond
fondest, superlative, fond
fonds, plural form, fond
fools, simple present, fool
fooling, present participle, fool
fooled, past tense, fool
forbidding, present participle, forbid
